Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,eigencentrality,indegree,outdegree,Degree
Jamaica,Jamaica,,5,0.300771,0.333191,0,0,0.001949,0,0,1,1
Bulgaria,Bulgaria,,5,0.300771,0.333191,0,0,0.001949,0,0,1,1
Belize,Belize,,5,0.300771,0.333191,0,0,0.001949,0,0,1,1
Honduras,Honduras,,5,0.300771,0.333191,0,0,0.001949,0,0,1,1
Serbia,Serbia,,5,0.300771,0.333191,0,0,0.001949,0,0,1,1
Saint Kitts and Nevis,Saint Kitts and Nevis,,5,0.300771,0.333191,0,0,0.001949,0,0,1,1
Slovakia,Slovakia,,1,1,1,0,3,0.001949,0,0,1,1
Maldives,Maldives,,1,1,1,0,3,0.001949,0,0,1,1
Cape Verde,Cape Verde,,1,1,1,0,3,0.001949,0,0,1,1
Albania,Albania,,1,1,1,0,3,0.001949,0,0,1,1
